United States,,1910,1911,1912,1913,1914,,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020F,2021F
,,"$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ",,"$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"476,412","407,110","361,512","349,810","423,750","398,471","305,271","151,222","109,844","174,794","191,223","124,729","264,918","222,693","268,516","318,931","387,194","349,635","460,885","586,772","611,721",NA,NA,NA,NA,NA,"1,130,675","1,103,236","1,274,791","1,546,886","1,463,499","1,435,000","1,498,000","1,239,000","1,510,000","1,581,000","1,761,564","1,548,642","1,719,265","2,013,927","2,046,064","2,180,276","2,659,732","2,747,420","2,696,377","2,887,059","3,325,773","3,596,285","3,734,726","7,269,582","9,919,708","8,530,023","9,469,610","8,628,617","8,245,664","10,278,716","13,959,070","13,349,051","12,764,000","10,854,663","10,909,183","16,879,679","12,396,644","9,982,991","8,922,696","11,393,888","13,347,666","14,436,685","14,665,445","14,607,924","14,642,639","18,893,416","20,730,472","20,033,154","17,201,284","14,663,064","15,162,100","15,316,854","17,866,744","18,935,840","21,174,529","18,486,488","22,879,782","34,054,532","48,434,727","43,022,959","47,540,191","62,740,976","72,020,286","59,957,285","54,478,683","47,023,123","46,622,697","45,554,663","48,596,052","49,361,265","47,957,350","54,688,958"
Cotton,,"880,000","855,000","852,000","968,000","602,000",,"830,000","1,148,000","1,604,000","1,784,000","2,282,000","1,476,000","852,000","1,148,000","1,569,000","1,663,047","1,761,817","1,222,047","1,499,860","1,452,531","1,511,817","824,145","496,956","460,694","577,551","862,854","711,786","904,879","883,289","646,973","626,864","646,842","1,045,458","1,236,598","1,317,600","1,490,164","1,208,000","1,473,000","2,245,000","2,553,000","2,636,960","2,434,012","2,857,975","2,975,997","3,179,039","2,702,015","2,568,000","2,515,000","1,750,000","2,143,000","2,676,000","2,361,326","2,468,863","2,551,522","2,837,842","2,521,225","2,330,343","1,588,097","1,095,043","1,315,896","1,363,934","1,254,304","1,487,471","1,841,892","2,798,252","2,892,788","2,310,744","3,476,558","3,470,205","3,537,561","4,330,142","4,447,096","4,055,091","4,456,545","3,704,896","3,674,246","3,686,502","3,371,188","4,189,135","4,525,060","5,025,638","5,488,395","5,236,421","5,191,827","5,249,679","6,737,773","6,850,629","6,983,125","6,345,803","6,072,960","4,630,256","2,949,649","3,639,446","3,418,096","6,419,910","4,825,881","6,402,504","5,545,956","6,457,260","5,252,889","4,280,531","7,464,640","7,303,972","8,230,448","6,515,834","7,111,320","4,756,100","5,496,889","7,573,587","7,484,369","7,181,857","6,495,419","6,240,651"
Tobacco,,"102,000","96,000","108,000","135,000","99,000",,"93,000","139,000","242,000","343,000","500,000","295,000","253,000","249,000","276,000","259,367","258,877","238,913","245,217","247,102","278,321","243,883","156,768","115,219","156,539","235,908","242,505","243,169","320,518","294,035","271,061","241,404","322,794","473,598","540,261","717,163","898,000","969,000","1,032,000","945,000","903,012","1,061,071","1,189,991","1,090,999","1,094,014","1,161,007","1,225,014","1,162,022","971,008","1,019,997","1,060,009","1,153,637","1,324,661","1,320,886","1,269,262","1,413,839","1,186,240","1,210,581","1,391,388","1,173,312","1,296,371","1,387,861","1,327,798","1,442,144","1,569,715","2,097,147","2,155,022","2,309,587","2,330,578","2,603,928","2,270,706","2,671,956","3,250,271","3,340,205","2,751,797","2,812,570","2,698,546","1,893,884","1,815,568","2,068,552","2,410,192","2,733,496","2,881,115","2,958,005","2,948,542","2,655,516","2,548,235","2,796,016","2,873,023","2,804,984","2,275,052","2,315,779","1,894,764","1,743,429","1,602,392","1,577,423","1,097,081","1,156,674","1,284,098","1,371,512","1,465,580","1,335,561","1,139,738","1,347,847","1,564,990","1,728,991","1,606,619","1,337,542","1,378,695","1,246,889","1,003,929","846,033","824,695"
Oil crops,,"38,000","43,000","49,000","37,000","31,000",,"32,000","48,000","75,000","94,000","92,000","68,000","36,000","42,000","61,000","102,987","87,531","65,025","86,946","83,245","83,980","72,255","39,011","30,610","31,755","50,919","65,625","73,021","82,458","91,762","112,007","127,187","231,678","433,308","675,182","477,433","615,000","715,000","917,000","1,053,000","854,008","935,000","985,991","1,080,999","959,011","942,005","1,131,018","1,155,023","1,181,010","1,409,996","1,274,011","1,362,194","1,622,695","1,789,046","1,951,258","2,145,264","2,173,491","2,703,036","2,794,891","2,845,178","3,048,864","3,590,651","3,787,290","4,392,745","7,579,771","9,963,167","7,480,458","9,442,757","9,721,764","13,022,922","14,299,674","15,492,540","13,852,529","13,816,529","13,545,553","13,640,509","12,394,132","10,614,011","11,282,517","13,500,503","11,866,212","12,296,145","12,697,873","13,287,036","13,218,615","14,652,167","15,492,964","16,344,700","19,758,300","17,371,716","13,355,150","13,477,739","13,337,838","15,045,915","17,988,338","17,862,280","18,387,789","18,545,958","24,603,108","28,275,075","36,319,030","36,544,312","35,324,388","46,925,602","47,270,761","42,624,290","35,518,959","44,042,747","41,093,900","39,467,914","36,375,048","40,917,146","50,457,202"
Vegetables and melons,,"271,000","306,000","363,000","294,000","318,000",,"286,000","412,000","660,000","603,000","593,000","712,000","477,000","488,000","553,000","589,172","684,330","730,011","663,358","627,571","709,190","684,646","489,557","358,059","445,677","498,148","401,823","650,506","647,470","533,408","589,911","591,243","629,628","1,087,195","1,592,341","1,469,493","1,611,000","1,591,000","1,632,000","1,712,000","1,626,204","1,436,005","1,727,984","2,022,998","1,662,019","1,548,009","1,683,026","1,873,038","1,710,014","1,735,995","1,861,017","1,980,237","1,910,025","2,028,794","2,003,843","2,313,604","2,617,477","2,611,943","2,679,604","2,892,888","2,841,946","2,813,521","3,010,833","3,285,439","4,350,796","5,335,513","5,346,116","5,230,823","5,609,314","6,127,461","6,480,010","7,306,561","8,771,913","8,075,970","8,472,456","9,151,841","8,611,838","8,859,353","9,890,880","9,792,069","11,561,722","11,273,905","11,390,509","11,768,426","13,711,691","14,049,689","14,982,903","14,410,671","14,668,839","15,015,605","15,013,441","15,758,258","15,549,910","16,739,421","17,152,918","16,563,699","17,291,250","18,074,300","19,320,989","17,048,920","17,797,884","17,404,837","17,616,247","17,412,740","19,490,674","18,951,858","20,358,992","19,542,550","20,494,457","18,499,392","18,895,276","20,436,378","19,278,852"
Fruits and nuts,,"243,000","283,000","295,000","264,000","300,000",,"297,000","330,000","403,000","505,000","632,000","702,000","514,000","584,000","559,000","544,858","587,601","604,974","588,318","619,609","618,751","561,084","460,404","330,609","350,176","397,991","443,616","462,032","546,060","405,026","443,050","442,293","613,406","826,093","1,202,838","1,476,230","1,498,000","1,759,000","1,199,000","1,128,000","929,009","1,188,005","1,156,990","1,096,999","1,197,014","1,220,007","1,276,020","1,358,027","1,292,011","1,393,996","1,514,013","1,529,219","1,609,810","1,577,590","1,678,424","1,800,756","1,649,951","1,746,585","1,816,996","2,043,026","2,171,435","2,070,621","2,305,137","2,558,094","3,444,532","3,440,554","3,526,253","3,714,069","4,603,435","5,763,881","6,462,233","6,557,399","6,602,930","6,803,791","6,055,869","6,733,621","6,949,550","7,251,672","8,056,418","9,048,563","9,148,675","9,381,000","9,986,400","10,089,612","10,329,585","10,300,642","11,017,842","11,848,590","12,957,846","11,982,796","12,016,211","12,283,886","11,807,709","12,673,287","13,480,486","15,126,283","17,137,528","17,254,259","18,651,692","18,645,523","19,178,580","21,612,927","24,166,286","28,107,818","30,214,108","32,248,510","28,447,492","29,698,085","30,588,949","29,204,518","28,768,747","33,455,137","30,255,984"
All other crops,,"262,000","281,000","275,000","275,000","278,000",,"285,000","331,000","428,000","514,000","595,000","636,000","433,000","427,000","476,000","462,587","460,436","457,918","442,637","431,364","430,536","401,723","299,423","248,779","273,221","276,984","317,463","374,477","386,293","357,728","373,459","352,943","398,482","490,692","526,246","581,799","753,000","989,000","1,050,000","1,052,000","1,040,069","1,218,004","1,224,989","1,192,999","1,134,013","1,107,006","1,083,016","1,194,024","1,165,010","1,184,997","1,346,012","1,200,542","1,470,503","1,571,041","1,713,432","1,744,106","1,786,954","1,840,846","1,902,140","2,026,879","2,092,586","2,208,469","2,340,516","2,649,876","3,572,000","4,820,154","4,579,282","4,619,215","4,903,437","4,876,027","5,362,955","6,560,399","6,542,798","6,989,772","7,362,077","8,007,836","8,388,725","9,101,179","10,141,199","10,934,773","11,581,565","12,909,573","13,400,914","13,864,384","13,929,354","14,893,117","15,232,362","16,068,998","17,213,369","17,573,526","18,351,908","18,645,177","19,282,044","20,202,136","20,943,715","22,081,537","22,449,284","23,072,266","23,869,032","27,100,420","26,198,775","26,506,078","27,187,628","28,118,353","27,809,317","27,068,502","28,001,987","28,901,788","28,616,339","29,733,297","30,663,281","31,866,669","31,978,531"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Footnotes
Data as of February 5, 2021
F = Forecast values.
'NA' indicates that commodity survey data is not available, and the value, if any, is instead included in either the 'all other crops' or 'miscellaneous animals and products' category, depending on the commodity type.
Values are rounded to the nearest thousand. When 'Real (2021 dollars)' is selected, nominal values are adjusted for inflation using the chain-type GDP deflator, base year=2021.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USDA/ERS Farm Income and Wealth Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
