United States,,1910,1911,1912,1913,1914,,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020F,2021F
,,"$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ",,"$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     ","$1,000     "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dairy products, Milk",,"597,000","577,000","630,000","669,000","667,000",,"686,000","764,000","1,030,000","1,250,000","1,522,000","1,529,000","1,200,000","1,171,000","1,425,000","1,405,662","1,514,725","1,566,098","1,685,156","1,755,772","1,838,489","1,607,441","1,277,000","986,000","1,004,000","1,146,000","1,310,204","1,477,882","1,524,771","1,387,926","1,345,522","1,516,491","1,896,971","2,335,552","2,809,083","2,969,361","3,021,000","3,709,000","4,013,000","4,389,000","3,751,280","3,719,002","4,253,961","4,566,994","4,366,050","4,114,022","4,217,065","4,485,090","4,628,039","4,556,987","4,604,041","4,759,957","4,932,290","4,859,636","4,860,891","5,026,833","5,037,727","5,533,398","5,742,231","5,957,282","6,195,672","6,526,563","6,812,035","7,135,682","8,090,160","9,453,647","9,922,533","11,428,455","11,751,730","12,724,074","14,641,918","16,364,999","18,095,226","18,233,554","18,747,732","17,931,425","18,074,462","17,723,533","17,726,646","17,631,666","19,357,305","20,152,604","18,006,612","19,736,250","19,261,516","19,983,347","19,879,611","22,785,017","20,940,261","24,105,134","23,189,113","20,586,629","24,685,667","20,582,238","21,231,059","27,366,854","26,704,863","23,412,552","35,453,399","34,846,236","24,321,032","31,372,346","39,531,306","37,064,731","40,282,881","49,351,199","35,716,849","34,546,316","37,940,662","35,242,255","40,498,398","40,621,946","39,795,155"
Poultry and eggs,,"484,000","452,000","482,000","479,000","500,000",,"499,000","554,000","739,000","872,000","1,106,000","1,148,000","820,000","796,000","889,000","908,659","1,037,642","1,085,755","1,016,653","1,110,493","1,187,437","985,316","733,569","551,718","504,947","604,440","785,975","813,015","847,526","792,088","756,984","809,298","1,107,183","1,651,785","2,446,452","2,295,493","2,817,000","2,754,000","2,957,000","3,135,000","3,110,029","2,839,008","3,604,967","3,329,996","3,602,041","3,013,017","3,224,049","3,254,065","3,076,026","3,352,991","2,991,026","3,292,406","3,212,189","3,262,454","3,344,018","3,381,069","3,583,594","4,146,032","3,622,082","3,797,660","4,377,083","4,248,146","3,952,460","4,181,995","6,909,738","6,219,591","6,810,241","7,155,287","7,212,464","8,109,932","8,923,106","9,159,704","9,949,077","9,520,028","9,980,581","12,245,116","11,302,634","12,701,143","11,515,483","12,868,435","15,377,284","15,289,018","15,153,546","15,527,511","17,359,132","18,480,631","19,075,734","22,455,175","22,259,690","22,968,035","22,917,544","21,854,088","24,633,005","21,142,276","23,749,796","29,473,433","28,834,009","26,643,934","33,113,441","35,975,951","31,652,549","34,690,177","35,412,413","38,288,247","44,436,132","48,472,262","48,291,673","38,799,407","42,787,880","46,238,294","40,359,695","35,790,208","37,977,049"
Broilers,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"946,001","956,095","1,131,972","1,118,064","999,867","1,067,148","1,032,581","1,041,097","1,171,265","1,045,780","1,015,892","947,433","1,048,826","1,062,904","1,070,124","1,217,383","1,371,006","1,222,641","1,325,665","1,531,404","1,463,777","1,493,700","1,646,530","2,738,973","2,456,447","2,953,039","2,918,342","3,103,465","3,714,781","4,026,013","4,302,883","4,646,150","4,461,072","4,872,705","6,020,067","5,668,272","6,784,090","6,177,126","7,435,105","8,777,668","8,365,470","8,383,046","9,176,537","10,415,826","11,371,723","11,762,222","13,904,023","14,158,926","15,146,560","15,127,787","13,989,424","16,694,530","13,437,700","15,214,956","20,446,109","20,877,923","17,852,894","21,513,538","23,203,136","21,822,804","23,691,553","22,987,822","24,827,800","30,761,669","32,728,234","28,716,398","25,935,852","30,232,203","31,749,919","28,313,919","21,974,245","24,298,231"
Miscellaneous animals and products,,"144,000","150,000","160,000","158,000","156,000",,"176,000","185,000","216,000","280,000","262,000","200,000","91,000","104,000","137,000","128,056","139,532","139,571","126,272","165,999","135,734","113,959","89,177","57,243","110,234","118,234","114,981","155,026","179,440","125,936","137,123","149,728","188,643","207,990","238,518","215,844","270,000","282,000","262,000","251,000","226,002","265,999","399,996","280,000","277,003","281,002","271,004","303,006","336,003","269,999","357,003","362,400","359,551","373,581","382,988","402,888","386,958","414,709","357,976","358,628","343,220","312,654","294,116","358,530","517,346","493,405","533,586","565,125","777,541","873,452","1,117,476","1,233,226","1,358,032","1,587,523","1,803,929","1,968,374","2,032,948","2,048,023","2,276,343","2,438,578","2,496,842","2,536,205","2,495,055","2,738,264","2,955,173","3,167,904","3,396,768","3,554,571","3,589,390","3,769,522","3,947,333","4,144,299","4,024,390","4,092,299","4,230,610","4,357,872","4,579,063","4,754,102","4,851,248","5,188,353","5,733,460","5,664,235","5,961,598","6,283,566","6,862,426","6,900,663","6,701,302","6,655,861","6,856,416","6,930,610","6,881,138","6,951,303","7,064,514"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crops,,"2,929,000","2,905,000","3,095,000","3,077,000","2,899,000",,"3,263,000","4,035,000","5,642,000","6,974,000","7,603,000","6,644,000","4,106,000","4,300,000","4,865,000","5,416,642","5,528,144","4,890,598","5,159,250","5,046,847","5,128,076","3,868,000","2,540,000","1,997,429","2,486,000","3,021,000","2,978,380","3,656,898","3,958,078","3,190,017","3,366,677","3,470,355","4,717,556","6,329,243","7,980,026","8,604,476","9,655,000","11,016,000","13,093,000","13,098,000","12,404,520","12,356,063","13,238,882","14,289,984","14,078,164","13,556,074","13,523,205","14,038,282","12,338,104","14,228,960","14,743,131","15,023,157","15,650,202","16,310,282","17,430,414","17,378,304","17,478,711","18,408,572","18,434,350","18,696,185","19,605,897","20,976,583","22,269,174","25,522,512","41,114,026","51,064,734","45,776,565","49,031,967","48,600,035","53,198,007","62,293,103","71,745,935","72,465,286","72,303,373","67,164,500","69,888,890","73,869,345","63,807,375","65,800,540","71,619,799","76,889,693","80,234,713","82,245,930","85,720,054","87,756,059","93,133,474","100,985,485","106,482,790","111,314,507","102,208,341","92,100,824","92,501,258","93,351,586","100,653,558","110,299,647","114,380,535","115,966,718","122,125,206","150,067,366","173,877,021","171,565,232","180,325,496","200,999,139","231,571,461","220,948,387","211,680,565","187,916,477","195,751,261","194,867,576","195,094,142","193,327,694","203,921,920","215,749,161"
Food grains,,"532,000","482,000","532,000","537,000","716,000",,"822,000","912,000","1,187,000","1,703,000","1,743,000","1,535,000","907,000","749,000","679,000","888,365","914,540","907,821","973,165","837,985","789,273","504,046","296,083","218,893","335,413","348,141","415,879","497,611","657,373","443,161","473,105","477,178","754,742","940,708","944,126","1,187,451","1,563,000","1,841,000","2,753,000","2,629,000","2,254,361","1,940,979","2,003,981","2,557,996","2,456,027","2,327,012","1,990,032","2,148,044","1,868,016","2,441,993","2,232,020","2,449,734","2,467,780","2,507,226","2,562,030","1,992,918","2,041,543","2,373,279","2,361,377","2,087,560","2,214,442","2,542,148","2,484,650","3,498,002","7,193,603","8,580,735","8,195,336","7,111,900","6,055,076","5,839,238","9,046,893","10,402,389","11,619,493","11,411,973","9,712,997","9,730,562","8,863,628","5,723,375","5,790,126","7,469,449","8,246,637","7,480,534","7,325,418","8,467,472","8,179,928","9,545,017","10,356,029","10,795,279","10,410,552","8,808,374","6,931,289","6,525,027","6,385,012","6,787,802","7,965,136","8,937,840","8,611,410","9,089,720","13,559,548","17,749,313","15,267,410","14,314,379","16,527,336","19,292,117","17,236,764","16,058,149","12,296,220","11,288,344","11,201,209","12,117,509","11,516,423","11,671,592","11,993,333"
Rice,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43,079","39,204","40,118","42,787","38,068","37,678","32,776","26,037","15,399","21,858","24,171","37,354","31,556","32,607","34,041","31,503","40,472","54,829","90,729","124,554","105,579",NA,NA,NA,NA,NA,"182,234","188,149","293,907","246,088","262,860","250,786","270,699","175,690","229,674","230,415","243,869","275,255","304,369","354,008","350,540","377,132","405,468","440,620","515,451","471,639","446,571","453,546","509,690","1,076,418","1,198,403","1,136,012","1,080,693","950,897","1,113,832","1,188,036","1,519,328","1,729,357","1,515,253","882,367","1,095,611","1,042,113","720,329","720,486","1,086,039","941,519","1,052,065","1,027,243","1,255,831","698,553","1,665,187","1,282,392","1,567,503","1,682,742","1,720,455","1,500,440","836,622","1,028,873","881,589","1,224,555","1,768,304","1,588,897","1,775,500","2,086,318","3,105,037","3,444,717","3,263,489","3,000,118","2,721,508","3,162,460","3,456,574","2,803,054","2,377,544","2,423,282","2,518,361","2,752,180","2,775,508","2,902,845"
Wheat,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"803,000","848,000","846,000","899,000","774,000","731,000","451,447","265,723","199,757","304,030","316,725","372,178","450,859","604,910","400,538","432,586","428,341","686,990","837,046","800,939","1,069,841",NA,NA,NA,NA,NA,"1,735,807","1,792,086","2,241,034","2,194,514","2,044,131","1,693,000","1,853,985","1,674,934","2,189,583","1,981,944","2,184,150","2,168,063","2,170,835","2,178,899","1,615,224","1,636,698","1,940,878","1,897,530","1,552,000","1,718,572","2,067,361","1,995,665","2,957,246","6,065,000","7,335,000","7,028,000","6,003,277","5,077,247","4,688,522","7,823,358","8,853,785","9,851,840","9,855,921","8,777,059","8,576,204","7,782,000","4,975,434","5,044,246","6,360,967","7,285,810","6,412,268","6,282,902","7,194,075","7,464,302","7,859,433","9,054,457","9,208,694","8,709,492","7,062,817","5,407,363","5,671,910","5,343,611","5,894,029","6,725,263","7,150,574","7,005,124","7,297,990","11,447,826","14,609,368","11,788,715","11,020,648","13,494,018","16,537,838","14,024,326","12,544,819","9,426,738","8,839,274","8,703,472","9,514,584","8,675,815","8,834,786","9,026,959"
Feed crops,,"601,000","559,000","621,000","567,000","555,000",,"618,000","715,000","1,043,000","1,428,000","1,166,000","1,220,000","634,000","613,000","692,000","906,259","773,012","663,889","659,749","747,440","706,208","552,819","298,392","234,566","302,278","332,347","285,683","451,203","434,617","417,924","477,220","571,849","594,064","799,003","1,125,582","1,115,508","1,509,000","1,679,000","2,265,000","2,026,000","2,160,897","2,142,987","2,090,981","2,270,997","2,397,027","2,549,013","2,555,040","2,648,054","2,395,020","2,903,992","2,770,025","2,986,268","2,775,865","2,964,177","3,414,323","3,446,592","3,692,712","4,334,205","4,392,911","4,311,446","4,576,319","5,109,008","5,525,479","5,854,320","10,605,357","13,934,676","12,183,354","13,127,058","11,906,226","11,426,989","14,040,490","18,307,595","17,770,261","17,408,588","15,558,855","16,137,705","22,276,424","16,992,713","14,634,697","14,280,830","17,049,052","18,671,665","19,327,280","20,093,292","20,188,665","20,299,553","24,504,521","27,235,411","27,086,775","22,578,380","19,527,517","20,545,743","21,454,863","24,043,472","24,746,752","27,405,592","24,589,872","29,386,073","42,321,639","58,433,368","51,057,443","55,142,761","71,733,544","82,136,536","70,845,938","65,888,944","56,930,107","55,443,315","53,920,441","57,340,254","58,923,133","58,233,546","64,719,913"
